test,N,M,C,total_cost_Crama’s LP,total_cost_LSG,total_cost_Privault-Finke,millis_Crama’s LP,millis_LSG,millis_Privault-Finke
rand_M2598_N300_C17_id000.txt,300,2598,17,7900,7900,7900,36.629,2.363,1590.28
rand_M2611_N301_C17_id000.txt,301,2611,17,7807,7807,7807,30.789,2.373,1486.252
rand_M2624_N302_C17_id000.txt,302,2624,17,7689,7689,7689,30.856,2.128,1510.516
rand_M262_N65_C8_id000.txt,65,262,8,874,874,874,0.996,0.122,11.41
rand_M2637_N303_C17_id000.txt,303,2637,17,8465,8465,8465,32.37,2.344,1714.377
rand_M2650_N304_C17_id000.txt,304,2650,17,7971,7971,7971,31.937,2.201,1666.519
rand_M2663_N305_C17_id000.txt,305,2663,17,8368,8368,8368,33.783,2.485,1767.678
rand_M2676_N306_C17_id000.txt,306,2676,17,7675,7675,7675,31.458,2.121,1503.469
rand_M2689_N307_C17_id000.txt,307,2689,17,8446,8446,8446,34.539,2.591,1802.858
rand_M268_N66_C8_id000.txt,66,268,8,893,893,893,1.059,0.109,12.105
rand_M26_N14_C3_id000.txt,14,26,3,61,61,61,0.163,0.007,0.071
rand_M2702_N308_C17_id000.txt,308,2702,17,7793,7793,7793,31.775,1.944,1497.603
rand_M2715_N309_C17_id000.txt,309,2715,17,7771,7771,7771,31.073,2.048,1443.403
rand_M2729_N310_C17_id000.txt,310,2729,17,7821,7821,7821,32.464,2.365,1555.522
rand_M2742_N311_C17_id000.txt,311,2742,17,8408,8408,8408,33.383,2.566,1662.633
rand_M274_N67_C8_id000.txt,67,274,8,672,672,672,1.247,0.1,7.936
rand_M2755_N312_C17_id000.txt,312,2755,17,8295,8295,8295,33.015,2.404,1705.638
rand_M2768_N313_C17_id000.txt,313,2768,17,8065,8065,8065,33.186,2.574,1626.725
rand_M2782_N314_C17_id000.txt,314,2782,17,8573,8573,8573,34.66,2.288,1846.933
rand_M2795_N315_C17_id000.txt,315,2795,17,8507,8507,8507,35.18,3.35,1830.261
rand_M2808_N316_C17_id000.txt,316,2808,17,8310,8310,8310,34.266,2.247,1762.095
rand_M280_N68_C8_id000.txt,68,280,8,925,925,925,1.195,0.11,11.962
rand_M2822_N317_C17_id000.txt,317,2822,17,8660,8660,8660,33.516,2.335,1856.26
rand_M2835_N318_C17_id000.txt,318,2835,17,7912,7912,7912,31.414,2.311,1568.997
rand_M2848_N319_C17_id000.txt,319,2848,17,8089,8089,8089,31.035,2.373,1565.883
rand_M2862_N320_C17_id000.txt,320,2862,17,8586,8586,8586,34.37,2.465,1875.483
rand_M286_N69_C8_id000.txt,69,286,8,873,873,873,1.208,0.152,11.326
rand_M2875_N321_C17_id000.txt,321,2875,17,8738,8738,8738,39.189,2.772,2064.063
rand_M2889_N322_C17_id000.txt,322,2889,17,7909,7909,7909,31.497,2.341,1614.75
rand_M2902_N323_C17_id000.txt,323,2902,17,8620,8620,8620,39.008,2.533,1966.287
rand_M2916_N324_C18_id000.txt,324,2916,18,8939,8939,8939,39.238,3.037,2113.734
rand_M2929_N325_C18_id000.txt,325,2929,18,9216,9216,9216,39.262,2.522,2190.375
rand_M292_N70_C8_id000.txt,70,292,8,921,921,921,1.286,0.125,13.353
rand_M2943_N326_C18_id000.txt,326,2943,18,8957,8957,8957,37.335,2.38,2078.619
rand_M2956_N327_C18_id000.txt,327,2956,18,9334,9334,9334,40.015,2.695,2288.677
rand_M2970_N328_C18_id000.txt,328,2970,18,8830,8830,8830,38.424,2.519,2064.399
rand_M2983_N329_C18_id000.txt,329,2983,18,9315,9315,9315,40.561,2.772,2261.231
rand_M2997_N330_C18_id000.txt,330,2997,18,9504,9504,9504,40.119,2.852,2293.43
rand_M299_N71_C8_id000.txt,71,299,8,859,859,859,1.261,0.104,11.067
rand_M29_N15_C3_id000.txt,15,29,3,41,41,41,0.107,0.008,0.078
rand_M3011_N331_C18_id000.txt,331,3011,18,9059,9059,9059,36.311,2.846,2120.501
rand_M3024_N332_C18_id000.txt,332,3024,18,8875,8875,8875,38.214,2.435,2046.901
rand_M3038_N333_C18_id000.txt,333,3038,18,8895,8895,8895,38.376,2.523,2178.568
rand_M3052_N334_C18_id000.txt,334,3052,18,9161,9161,9161,39.7,2.672,2280.51
rand_M305_N72_C8_id000.txt,72,305,8,830,830,830,1.365,0.109,11.454
rand_M3065_N335_C18_id000.txt,335,3065,18,9185,9185,9185,37.501,2.436,2190.352
rand_M3079_N336_C18_id000.txt,336,3079,18,9551,9551,9551,42.454,2.73,2704.483
rand_M3093_N337_C18_id000.txt,337,3093,18,9535,9535,9535,41.369,2.654,2537.83
